_id,seller_id,categories,product_name,price,image,about,discount,quantity,stock,__v
63d15591179d1337418b7609,rohitshaw340@gmail.com,Vegetables,Potato,30,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=120,h=120/app/images/products/sliding_image/333427a.jpg?ts=1651220576",Potato is very rich in carbohydrate,5,500g,5,0
63d15e1c676027bf793fc40d,rohitshaw340@gmail.com,Vegetables,Tomato,10,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=120,h=120/app/images/products/sliding_image/445675a.jpg?ts=1648026977","Tomatoes are a significant source of umami flavor.The tomato is consumed in diverse ways, raw or cooked, in many dishes, sauces, salads, and drinks. While tomatoes are fruits—botanically classified as berries—they are commonly used culinarily as a vegetable ingredient or side dish.",4,500g,11,0
63d17f3d496a488eb42aee87,rohitshaw340@gmail.com,Dairy,Braed,40,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=120,h=120/app/images/products/sliding_image/448096a.jpg?ts=1661157752","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.",5,450g,11,0
63d17fb4496a488eb42aee89,rohitshaw340@gmail.com,Fruits,Apple,90,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=120,h=120/app/images/products/sliding_image/428612a.jpg?ts=1658731563",An Apple a day Keeps doctor away,5,500g,24,0
63d17fff496a488eb42aee8b,rohitshaw340@gmail.com,Dairy,Butter,54,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=120,h=120/app/images/products/sliding_image/159a.jpg?ts=1654778815","Made from the freshest of cream, the Amul butter has wonderful taste which is delicate and slightly salty. This finely processed butter is natural, pure and tastes best with toasts and sandwiches. Has a natural and pure formulation that gives a great taste. Made from fresh cream that has a delicious flavour. Spread it over toast or cook your curries in it for a heavenly taste.",5,100g,20,0
63d18091496a488eb42aee90,anjali45@yahoo.com,Vegetables,Onion,38,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=120,h=120/app/images/products/sliding_image/391306a.jpg?ts=1652789363","Onion is a staple in India and are commonly chopped and used as an ingredient in various hearty warm dishes. They are versatile and can be baked, boiled, braised, grilled, fried, roasted, sautéed, or eaten raw in salads.",15,1kg,3,0
63d180fd496a488eb42aee92,anjali45@yahoo.com,Groceries,Asirwad Atta,250,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=120,h=120/app/images/products/sliding_image/333764a.jpg?ts=1588911583","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.",12,5kg,4,0
63d1815b496a488eb42aee94,anjali45@yahoo.com,Snacks,Lays,20,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=120,h=120/app/images/products/sliding_image/240092a.jpg?ts=1668146939","Binge on these exquisite bites of pure Masala magic! With hints of cumin, coriander, chili powder, onion, and garlic, Lay’s India’s Magic Masala is a one-way ticket to a world of exploding flavours. Experience this one-of-a-kind snack and indulge in the boldness of the Masala spice blend. Lay's India’s Magic Masala chips are perfect for any occasion. From the quick snack breaks at work, to the impromptu get-togethers, this snack is perfect to binge on.",2,40g,480,0
63dcc0e6541258b820a90c17,rohitshaw340@gmail.com,Groceries,Indiagate Basmati Rice,450,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=120,h=120/app/images/products/sliding_image/10967a.jpg?ts=1673507475","Every effort is made to maintain accuracy of all information. However, actual product packaging and materials may contain more and/or different information. It is recommended not to solely rely on the information presented.",2,5kg,10,0
63de52d58e4d0f2396cf9f83,rohitshaw340@gmail.com,Groceries,Ashirwad Multigrain Atta,290,"https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=85,metadata=none,w=120,h=120/app/images/products/sliding_image/108301a.jpg?ts=1604059490","Aashirvaad Atta with Multigrains is high in fibre & helps digestion.\n3 rotis fulfill 35% of your daily fibre requirement.\nThe rotis taste just like your regular atta.\nIt's a blend of 6 grains – wheat, maize, soya, channa, oats, psyllium husk.\nMake tasty rotis & never miss your daily dose of fibre.",4,5kg,24,0
